host_acceptance_rate,count
100%,260
99%,35
0%,31
98%,28
96%,26
97%,25
91%,18
95%,15
92%,14
90%,13
80%,12
94%,9
93%,8
67%,7
85%,7
71%,6
86%,6
76%,5
75%,5
89%,5
