price,count
$90.00,11
$86.00,10
$95.00,9
$150.00,9
$145.00,8
$84.00,8
$105.00,8
$106.00,8
$108.00,7
$110.00,7
$97.00,7
$96.00,6
$128.00,6
$77.00,6
$67.00,6
$100.00,6
$157.00,6
$125.00,6
$126.00,5
$82.00,5
