first_review,count
21/01/2017,6
22/01/2017,5
02/01/2018,4
05/07/2019,3
14/03/2018,3
15/11/2017,3
22/04/2018,3
20/05/2017,3
25/06/2017,3
19/05/2015,3
09/04/2018,3
27/08/2017,3
13/11/2016,3
03/09/2018,3
19/05/2019,3
13/12/2018,2
08/11/2018,2
21/10/2018,2
16/08/2018,2
06/07/2019,2
